,target,spark.executor.cores,spark.executor.instances
1,209.646,3.0,6.0
2,300.603,1.0,8.0
3,210.803,2.0,8.0
4,207.942,2.0,8.0
5,220.532,2.0,8.0
6,216.546,2.0,8.0
7,255.69758160909018,2.9740805600726947,5.986917545576569
8,255.69758160909018,2.817704178273225,7.483409634081303
9,255.69758160909018,1.309214202982794,7.492214493155779
10,255.69758160909018,1.2020297905843607,7.70290077480703
11,255.69758160909018,1.8189114726454292,7.070828571068668
12,255.69758160909018,2.6053958925412974,7.4487082873320265
13,255.69758160909018,1.9048485135569033,7.4184085803142565
14,255.69758160909018,2.139004153170477,7.509570864573268
15,255.69758160909018,2.0605615329935802,7.783385677722547
16,255.69758160909018,1.6398275389510022,7.611787105804126
17,255.69758160909018,1.6005701062098792,7.725751250528894
18,255.69758160909018,1.866558441101312,7.615700145547135
19,255.69758160909018,1.769174615200921,7.844241798855173
20,255.69758160909018,2.2754418999603256,7.749321977284525
21,255.69758160909018,1.799198161042426,7.877949383347602
22,255.69758160909018,2.1181528464777393,7.7913280714086826
23,255.69758160909018,1.794062072547588,7.883317700884849
24,255.69758160909018,1.9872604577804442,7.999999999689987
25,255.69758160909018,1.8886582969533547,7.957622594926923
26,255.69758160909018,2.003695470116062,7.949477609160774
