,target,spark.executor.cores,spark.executor.instances
1,209.646,3.0,6.0
2,207.942,2.0,8.0
3,463.057,1.0,5.0
4,218.302,2.0,8.0
5,458.204,1.0,5.0
6,202.15,2.0,8.0
7,249.5,3.0,4.0
8,212.629,2.0,8.0
9,515.218,1.0,4.0
10,232.895,3.0,6.0
11,255.69758160909018,3.516386344726599,7.594837201595136
12,255.69758160909018,1.0,8.0
13,255.69758160909018,2.3039931896346473,7.132434624127385
14,255.69758160909018,2.5898041778223986,8.0
15,255.69758160909018,1.6739684116258577,8.0
16,255.69758160909018,1.2192409999999998,7.002727999999999
17,255.69758160909018,2.1030069506343056,7.7186037881600225
18,255.69758160909018,2.6324147900000003,7.1922096799999995
19,255.69758160909018,2.170610263926123,7.999790777670367
20,255.69758160909018,1.6398275389510022,7.611787105804126
