spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,7.0,3.0,748.0,7.0,33.0,0.0,1.0,313.0,124.0,46.0,10.0,1085925805.0,0.61,0.59,0.0,2008673100.0,1430867090.0,43.0,0.0,672.0,0.0,44.0,3.0,193.0,1.0,2527.898
0.0,0.0,5.0,2.0,609.0,7.0,60.0,1.0,0.0,237.0,59.0,66.0,4.0,1440033194.0,0.7,0.58,0.0,1370962905.0,1574791197.0,50.0,0.0,797.0,0.0,48.0,4.0,345.0,4.0,2586.765
1.0,894.0,6.0,3.0,667.0,8.0,49.0,1.0,1.0,466.0,126.0,63.0,9.0,1123544749.0,0.52,0.52,1.0,1277825398.0,1305823439.0,25.0,0.0,619.0,1.0,35.0,2.0,171.0,4.0,2574.041
0.0,0.0,3.0,1.0,384.0,6.0,63.0,0.0,0.0,398.0,48.0,121.0,10.0,1334289327.0,0.5,0.81,0.0,1828781848.0,2038195727.0,59.0,1.0,581.0,0.0,21.0,2.0,216.0,1.0,2752.642
0.0,0.0,3.0,1.0,384.0,8.0,37.0,0.0,0.0,317.0,55.0,101.0,4.0,1417780045.0,0.82,0.74,0.0,1626053384.0,1437915884.0,54.0,0.0,617.0,1.0,45.0,3.0,212.0,4.0,2703.028
1.0,559.0,4.0,2.0,433.0,5.0,57.0,0.0,1.0,392.0,62.0,75.0,7.0,1610623830.0,0.69,0.77,1.0,1742336532.0,1818523044.0,69.0,1.0,912.0,1.0,22.0,3.0,202.0,1.0,2675.019
1.0,565.0,5.0,2.0,501.0,7.0,54.0,0.0,0.0,239.0,51.0,119.0,5.0,1628031919.0,0.82,0.65,1.0,1412000813.0,2076698113.0,63.0,0.0,747.0,1.0,17.0,2.0,289.0,1.0,2596.933
1.0,777.0,4.0,2.0,384.0,4.0,38.0,1.0,1.0,483.0,126.0,70.0,6.0,1250596241.0,0.89,0.88,0.0,1796270215.0,1512076087.0,69.0,1.0,846.0,1.0,44.0,1.0,247.0,2.0,2692.801
1.0,642.0,3.0,1.0,384.0,8.0,45.0,1.0,0.0,413.0,127.0,61.0,5.0,1306397585.0,0.51,0.7,0.0,1251729651.0,2032710047.0,68.0,0.0,826.0,1.0,36.0,1.0,337.0,4.0,2726.289
1.0,691.0,4.0,2.0,486.0,5.0,52.0,0.0,1.0,278.0,126.0,74.0,7.0,1348297368.0,0.57,0.7,0.0,1883934774.0,1615804880.0,44.0,1.0,806.0,1.0,47.0,5.0,293.0,4.0,2672.744
0.0,0.0,4.0,2.0,384.0,6.0,39.0,0.0,1.0,325.0,115.0,83.0,7.0,1265533168.0,0.87,0.62,1.0,1654262430.0,2075364944.0,38.0,1.0,918.0,0.0,37.0,5.0,212.0,3.0,2608.502
1.0,621.0,5.0,2.0,478.0,7.0,50.0,0.0,0.0,390.0,123.0,83.0,8.0,1329298725.0,0.57,0.57,1.0,1219388180.0,1563499219.0,43.0,0.0,676.0,0.0,16.0,4.0,171.0,4.0,2623.133
0.0,0.0,7.0,3.0,556.0,4.0,32.0,1.0,1.0,410.0,82.0,124.0,5.0,1530722857.0,0.76,0.63,0.0,1985587414.0,1406464792.0,36.0,1.0,536.0,0.0,32.0,2.0,166.0,3.0,2639.43
0.0,0.0,7.0,3.0,797.0,5.0,38.0,0.0,0.0,424.0,112.0,36.0,8.0,2056026629.0,0.82,0.53,0.0,1982155275.0,1843297409.0,66.0,1.0,565.0,0.0,32.0,3.0,233.0,4.0,2604.354
