spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
4.0,8.0,12.0,48.0,0.0,1.0,205.0,76.0,89.0,8.0,1185599172.0,0.66,0.0,871.0,0.55,1.0,1746974713.0,1261815057.0,53.0,1.0,539.0,0.0,32.0,4.0,393.0,0.66,3.0,245.027
3.0,12.0,15.0,43.0,1.0,0.0,347.0,53.0,48.0,7.0,1189440374.0,0.73,1.0,996.0,0.9,0.0,1732426359.0,1931371230.0,43.0,0.0,510.0,1.0,30.0,3.0,197.0,0.66,2.0,214.441
2.0,10.0,15.0,10.0,0.0,0.0,263.0,90.0,56.0,10.0,1164484483.0,0.86,0.0,640.0,0.75,1.0,1612100337.0,1607898106.0,59.0,1.0,687.0,0.0,41.0,2.0,455.0,0.86,3.0,1016.115
4.0,10.0,12.0,56.0,1.0,0.0,401.0,37.0,96.0,5.0,1328598206.0,0.83,0.0,852.0,0.87,1.0,1327247654.0,1204158036.0,39.0,0.0,969.0,0.0,29.0,1.0,331.0,0.84,10.0,248.822
2.0,13.0,10.0,3.0,0.0,0.0,486.0,128.0,121.0,2.0,1910515930.0,0.89,0.0,630.0,0.61,0.0,1529883891.0,1216044690.0,36.0,1.0,627.0,1.0,18.0,4.0,274.0,0.85,5.0,238.524
2.0,13.0,8.0,19.0,0.0,0.0,445.0,72.0,54.0,9.0,1223765215.0,0.81,1.0,932.0,0.66,1.0,1811388437.0,1744399927.0,65.0,0.0,849.0,0.0,23.0,3.0,467.0,0.89,9.0,685.311
4.0,8.0,10.0,2.0,1.0,1.0,228.0,68.0,78.0,3.0,1476197969.0,0.51,0.0,535.0,0.74,0.0,1999973318.0,1331362367.0,58.0,1.0,879.0,0.0,35.0,4.0,171.0,0.85,1.0,231.338
2.0,11.0,9.0,9.0,1.0,0.0,300.0,104.0,52.0,1.0,1107828170.0,0.65,1.0,934.0,0.74,1.0,1131275869.0,2131876227.0,31.0,0.0,742.0,1.0,16.0,1.0,187.0,0.7,9.0,484.942
2.0,16.0,13.0,53.0,0.0,1.0,456.0,48.0,64.0,9.0,1252694563.0,0.83,0.0,939.0,0.87,0.0,1154950825.0,1949802916.0,67.0,1.0,699.0,0.0,45.0,5.0,254.0,0.62,8.0,229.073
4.0,10.0,10.0,52.0,0.0,1.0,458.0,88.0,42.0,6.0,1723238757.0,0.9,1.0,962.0,0.75,1.0,1993225225.0,2099663415.0,43.0,1.0,773.0,0.0,39.0,4.0,272.0,0.61,4.0,575.502
2.0,12.0,15.0,43.0,0.0,1.0,359.0,95.0,67.0,2.0,1524919466.0,0.59,0.0,885.0,0.8,1.0,2007161206.0,1385916653.0,44.0,0.0,938.0,0.0,34.0,5.0,129.0,0.68,7.0,272.315
2.0,9.0,11.0,64.0,1.0,1.0,476.0,49.0,104.0,9.0,1960752689.0,0.76,0.0,596.0,0.69,1.0,1170232431.0,1164087646.0,36.0,0.0,580.0,0.0,46.0,4.0,382.0,0.73,6.0,838.832
3.0,8.0,13.0,43.0,1.0,1.0,341.0,57.0,43.0,7.0,2032225357.0,0.6,0.0,557.0,0.72,1.0,1382778643.0,1319713781.0,30.0,1.0,637.0,0.0,48.0,2.0,441.0,0.69,5.0,355.34
2.0,15.0,15.0,31.0,0.0,0.0,459.0,85.0,67.0,9.0,1910274647.0,0.76,0.0,799.0,0.62,1.0,2064261124.0,1506356307.0,38.0,1.0,514.0,1.0,43.0,3.0,321.0,0.77,5.0,544.96
2.0,11.0,10.0,48.0,0.0,1.0,375.0,124.0,71.0,1.0,1700943067.0,0.58,1.0,513.0,0.58,0.0,1852430078.0,1769355542.0,26.0,1.0,651.0,1.0,19.0,3.0,465.0,0.65,9.0,224.484
3.0,10.0,16.0,58.0,1.0,1.0,407.0,107.0,78.0,9.0,2022587145.0,0.53,1.0,912.0,0.68,1.0,1964093721.0,1894695138.0,33.0,0.0,666.0,0.0,25.0,2.0,308.0,0.84,4.0,354.58
3.0,12.0,8.0,10.0,0.0,0.0,376.0,33.0,53.0,6.0,2051708664.0,0.81,0.0,879.0,0.74,0.0,1793159879.0,1741823107.0,40.0,1.0,775.0,1.0,20.0,1.0,104.0,0.77,8.0,522.327
4.0,10.0,12.0,21.0,0.0,0.0,369.0,122.0,91.0,10.0,1880082143.0,0.61,0.0,873.0,0.59,1.0,1856121925.0,2006718171.0,50.0,1.0,659.0,0.0,45.0,4.0,462.0,0.76,7.0,302.989
2.0,9.0,8.0,26.0,0.0,1.0,367.0,73.0,69.0,1.0,1170018018.0,0.69,0.0,862.0,0.55,0.0,1357262644.0,1074171218.0,36.0,0.0,590.0,1.0,16.0,5.0,310.0,0.55,10.0,440.441
3.0,8.0,12.0,57.0,0.0,0.0,383.0,77.0,81.0,9.0,2048654183.0,0.56,1.0,909.0,0.54,0.0,1678408961.0,1959055980.0,32.0,0.0,850.0,0.0,20.0,2.0,311.0,0.86,2.0,219.267
3.0,11.0,8.0,41.0,1.0,1.0,381.0,47.0,44.0,8.0,1860884518.0,0.81,1.0,717.0,0.72,1.0,1565668075.0,1456088006.0,59.0,0.0,821.0,1.0,36.0,3.0,196.0,0.68,5.0,568.677
3.0,8.0,12.0,8.0,0.0,0.0,469.0,109.0,67.0,10.0,1769457775.0,0.72,1.0,607.0,0.74,1.0,1508973039.0,1227535001.0,29.0,1.0,737.0,0.0,26.0,4.0,454.0,0.68,10.0,240.666
