spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
0.0,0.0,4.0,2.0,384.0,7.0,57.0,1.0,1.0,277.0,122.0,120.0,7.0,1294047530.0,0.81,0.74,1.0,1565541820.0,65.0,723.0,34.0,3.0,207.0,3.0,392.0,7644989.0,9016.0,1.0,991.0
0.0,0.0,3.0,1.0,384.0,6.0,58.0,1.0,0.0,473.0,53.0,83.0,8.0,1663518082.0,0.55,0.78,1.0,1927173537.0,68.0,558.0,31.0,3.0,232.0,4.0,333.0,13287006.0,8214.0,1.0,1213.0
1.0,906.0,5.0,2.0,534.0,6.0,34.0,0.0,0.0,278.0,84.0,94.0,6.0,1331387264.0,0.75,0.85,0.0,1464790159.0,67.0,618.0,20.0,3.0,156.0,4.0,394.0,10695192.0,9734.0,1.0,916.0
0.0,0.0,6.0,3.0,560.0,7.0,55.0,1.0,1.0,397.0,113.0,68.0,10.0,1684143660.0,0.62,0.64,0.0,1537912223.0,49.0,647.0,33.0,3.0,173.0,3.0,297.0,15191521.0,9811.0,0.0,798.0
1.0,526.0,6.0,3.0,384.0,7.0,33.0,1.0,0.0,361.0,60.0,98.0,5.0,2044113747.0,0.74,0.6,1.0,1602974533.0,56.0,985.0,24.0,3.0,151.0,3.0,297.0,13715051.0,11678.0,1.0,783.0
1.0,883.0,5.0,2.0,384.0,8.0,48.0,0.0,0.0,496.0,58.0,91.0,8.0,1096382222.0,0.67,0.52,1.0,1148968023.0,57.0,997.0,23.0,3.0,151.0,1.0,344.0,9972152.0,9427.0,1.0,1002.0
1.0,842.0,4.0,2.0,384.0,8.0,47.0,1.0,0.0,265.0,104.0,58.0,6.0,1285416996.0,0.54,0.68,0.0,1582025874.0,68.0,570.0,18.0,1.0,182.0,1.0,283.0,5693215.0,11685.0,1.0,779.0
0.0,0.0,7.0,3.0,577.0,4.0,48.0,1.0,0.0,287.0,58.0,35.0,4.0,1188200873.0,0.83,0.9,0.0,2044304705.0,46.0,665.0,20.0,3.0,182.0,2.0,377.0,12594073.0,10039.0,0.0,834.0
0.0,0.0,3.0,1.0,384.0,6.0,64.0,0.0,0.0,293.0,114.0,93.0,6.0,1392070314.0,0.53,0.52,0.0,1476923260.0,61.0,912.0,21.0,1.0,195.0,1.0,331.0,9176910.0,10379.0,0.0,1192.0
0.0,0.0,5.0,2.0,478.0,4.0,47.0,1.0,1.0,477.0,79.0,64.0,7.0,1719233969.0,0.66,0.88,0.0,1857018158.0,72.0,626.0,30.0,1.0,218.0,1.0,254.0,12791751.0,8089.0,0.0,774.0
1.0,541.0,5.0,2.0,410.0,5.0,61.0,0.0,1.0,272.0,101.0,68.0,4.0,1549781540.0,0.69,0.67,1.0,1377482581.0,62.0,736.0,23.0,3.0,239.0,2.0,322.0,14940697.0,8391.0,1.0,849.0
1.0,656.0,5.0,2.0,431.0,7.0,46.0,1.0,1.0,310.0,127.0,73.0,9.0,1591816385.0,0.58,0.61,0.0,2103684626.0,69.0,808.0,34.0,2.0,164.0,4.0,399.0,15383262.0,9773.0,1.0,981.0
0.0,0.0,3.0,1.0,384.0,8.0,53.0,1.0,1.0,229.0,51.0,110.0,8.0,1461522733.0,0.73,0.7,1.0,1806785846.0,62.0,998.0,40.0,1.0,243.0,4.0,397.0,6516734.0,11606.0,0.0,1487.0
0.0,0.0,7.0,3.0,615.0,4.0,54.0,1.0,0.0,303.0,113.0,48.0,10.0,1622200244.0,0.55,0.65,0.0,1753569539.0,62.0,719.0,28.0,2.0,204.0,2.0,298.0,5721095.0,10747.0,0.0,834.0
1.0,577.0,5.0,2.0,481.0,5.0,36.0,0.0,0.0,465.0,127.0,82.0,4.0,1951254713.0,0.79,0.68,1.0,2060993304.0,45.0,596.0,41.0,1.0,192.0,2.0,342.0,6745652.0,9662.0,0.0,890.0
1.0,804.0,4.0,2.0,445.0,7.0,46.0,1.0,1.0,309.0,86.0,114.0,5.0,1737048578.0,0.59,0.87,0.0,1641072277.0,68.0,847.0,30.0,3.0,179.0,3.0,387.0,13571996.0,11360.0,1.0,920.0
1.0,927.0,4.0,2.0,397.0,4.0,37.0,0.0,0.0,466.0,37.0,32.0,8.0,1520474513.0,0.84,0.62,1.0,1637472939.0,68.0,980.0,24.0,1.0,229.0,3.0,302.0,15173878.0,8692.0,1.0,850.0
1.0,690.0,6.0,3.0,491.0,5.0,50.0,0.0,0.0,302.0,110.0,116.0,6.0,2140487068.0,0.73,0.75,1.0,1739260608.0,68.0,709.0,19.0,2.0,166.0,4.0,285.0,9171249.0,9208.0,0.0,753.0
1.0,674.0,3.0,1.0,384.0,8.0,63.0,0.0,1.0,338.0,85.0,54.0,7.0,1532565514.0,0.57,0.66,0.0,1695090067.0,55.0,949.0,28.0,1.0,172.0,2.0,382.0,9438628.0,10584.0,0.0,1092.0
0.0,0.0,5.0,2.0,548.0,4.0,46.0,1.0,0.0,280.0,73.0,81.0,8.0,2055663293.0,0.74,0.76,1.0,1315387031.0,66.0,654.0,48.0,1.0,150.0,3.0,262.0,11016424.0,9394.0,1.0,834.0
0.0,0.0,4.0,2.0,384.0,6.0,50.0,0.0,0.0,252.0,93.0,59.0,9.0,1551130341.0,0.83,0.59,0.0,1677370463.0,64.0,639.0,39.0,2.0,228.0,4.0,272.0,11225713.0,11393.0,0.0,884.0
0.0,0.0,3.0,1.0,384.0,4.0,63.0,1.0,1.0,314.0,68.0,89.0,6.0,1435559868.0,0.87,0.65,1.0,1830493204.0,40.0,990.0,17.0,3.0,229.0,4.0,290.0,5783656.0,8777.0,0.0,1263.0
0.0,0.0,7.0,3.0,784.0,4.0,38.0,1.0,1.0,455.0,127.0,103.0,5.0,1508484978.0,0.79,0.69,0.0,1488051553.0,48.0,776.0,26.0,3.0,167.0,2.0,309.0,13306768.0,8191.0,1.0,900.0
1.0,875.0,5.0,2.0,469.0,6.0,43.0,1.0,1.0,286.0,91.0,112.0,6.0,1115274110.0,0.88,0.65,0.0,1789079149.0,71.0,650.0,37.0,2.0,200.0,2.0,374.0,6179126.0,8986.0,0.0,905.0
0.0,0.0,3.0,1.0,384.0,4.0,35.0,1.0,1.0,263.0,41.0,43.0,8.0,1806302208.0,0.63,0.55,0.0,1576306724.0,54.0,540.0,27.0,1.0,172.0,3.0,285.0,11073029.0,8354.0,0.0,1504.0
1.0,607.0,3.0,1.0,384.0,4.0,59.0,1.0,0.0,379.0,94.0,74.0,8.0,1798536337.0,0.88,0.8,1.0,1832911357.0,51.0,661.0,22.0,2.0,181.0,1.0,372.0,6715269.0,9729.0,1.0,1194.0
1.0,624.0,4.0,2.0,403.0,7.0,38.0,0.0,0.0,235.0,97.0,76.0,7.0,1918911824.0,0.81,0.64,0.0,1936143978.0,40.0,668.0,45.0,3.0,174.0,3.0,377.0,13406075.0,9308.0,0.0,940.0
1.0,897.0,3.0,1.0,384.0,4.0,48.0,1.0,0.0,438.0,33.0,104.0,10.0,1093869080.0,0.87,0.63,1.0,1631917712.0,46.0,678.0,21.0,1.0,176.0,3.0,250.0,5605362.0,10631.0,1.0,1076.0
1.0,596.0,3.0,1.0,384.0,5.0,60.0,0.0,0.0,251.0,92.0,103.0,4.0,1529167071.0,0.9,0.71,0.0,1183526255.0,55.0,643.0,44.0,3.0,169.0,1.0,375.0,8783691.0,8828.0,1.0,1102.0
0.0,0.0,6.0,3.0,518.0,6.0,36.0,1.0,1.0,487.0,115.0,37.0,6.0,1619102986.0,0.81,0.63,1.0,1396642134.0,68.0,548.0,45.0,3.0,219.0,3.0,251.0,15139346.0,11762.0,1.0,779.0
0.0,0.0,5.0,2.0,418.0,5.0,46.0,0.0,1.0,305.0,81.0,47.0,10.0,1098444931.0,0.63,0.76,1.0,2069259103.0,41.0,750.0,39.0,1.0,182.0,2.0,275.0,6333078.0,8397.0,0.0,798.0
0.0,0.0,3.0,1.0,384.0,8.0,47.0,1.0,1.0,300.0,81.0,101.0,4.0,1154052735.0,0.81,0.73,1.0,1729658307.0,62.0,933.0,41.0,2.0,205.0,2.0,373.0,7865994.0,10251.0,1.0,1153.0
0.0,0.0,4.0,2.0,399.0,4.0,47.0,0.0,1.0,456.0,108.0,65.0,9.0,1293309426.0,0.79,0.85,1.0,1436542302.0,56.0,742.0,48.0,1.0,158.0,1.0,251.0,8073165.0,11828.0,0.0,825.0
1.0,860.0,6.0,3.0,734.0,6.0,47.0,0.0,1.0,219.0,43.0,66.0,7.0,1453895691.0,0.62,0.87,0.0,1248407542.0,59.0,502.0,22.0,2.0,223.0,1.0,379.0,14422739.0,8318.0,1.0,820.0
0.0,0.0,4.0,2.0,470.0,8.0,55.0,1.0,0.0,372.0,46.0,82.0,10.0,1304047571.0,0.54,0.84,0.0,1945860621.0,62.0,683.0,20.0,2.0,236.0,1.0,397.0,7585268.0,8896.0,1.0,1021.0
