spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
2.0,3.0,4.0,30.0,0.0,1.0,432.0,32.0,93.0,2.0,1607800935.0,0.61,0.0,592.0,0.64,0.0,1103038442.0,1375775632.0,36.0,0.0,931.0,0.0,17.0,4.0,255.0,0.84,3.0,392.46
4.0,6.0,3.0,30.0,1.0,0.0,371.0,75.0,92.0,9.0,2095150558.0,0.83,0.0,733.0,0.79,1.0,1386534099.0,1279752671.0,56.0,1.0,774.0,1.0,41.0,5.0,126.0,0.71,9.0,214.348
3.0,4.0,8.0,48.0,0.0,0.0,445.0,113.0,67.0,8.0,1652766285.0,0.78,1.0,1015.0,0.57,1.0,1290169868.0,1818222772.0,24.0,1.0,695.0,1.0,34.0,2.0,281.0,0.88,8.0,314.226
1.0,5.0,6.0,52.0,1.0,0.0,281.0,125.0,64.0,9.0,1559854849.0,0.9,1.0,525.0,0.77,1.0,1725588101.0,1296034089.0,36.0,1.0,949.0,0.0,17.0,5.0,134.0,0.7,9.0,452.936
3.0,8.0,3.0,39.0,0.0,1.0,234.0,76.0,100.0,10.0,2097679354.0,0.65,0.0,838.0,0.52,0.0,2020653228.0,1162780005.0,59.0,1.0,938.0,1.0,30.0,4.0,147.0,0.61,2.0,226.56
3.0,5.0,4.0,26.0,1.0,0.0,365.0,111.0,89.0,7.0,1782415169.0,0.68,0.0,951.0,0.81,0.0,1177357451.0,2019727092.0,46.0,0.0,954.0,1.0,44.0,4.0,240.0,0.59,3.0,237.161
4.0,4.0,7.0,47.0,0.0,1.0,289.0,126.0,39.0,2.0,1329399309.0,0.83,0.0,687.0,0.58,0.0,1542011416.0,1974683215.0,59.0,0.0,882.0,1.0,21.0,1.0,480.0,0.7,7.0,257.904
2.0,7.0,8.0,52.0,1.0,0.0,419.0,89.0,112.0,1.0,1976804072.0,0.78,1.0,690.0,0.59,1.0,1510599809.0,1199330594.0,43.0,0.0,538.0,1.0,33.0,2.0,404.0,0.76,1.0,330.292
4.0,5.0,5.0,15.0,0.0,0.0,254.0,45.0,41.0,4.0,2137238929.0,0.83,0.0,727.0,0.71,0.0,1518901859.0,1740493013.0,65.0,1.0,803.0,1.0,39.0,3.0,113.0,0.74,1.0,423.813
4.0,2.0,3.0,42.0,0.0,0.0,270.0,86.0,84.0,1.0,1496991234.0,0.58,1.0,799.0,0.73,0.0,1792337853.0,2111689061.0,50.0,1.0,884.0,1.0,31.0,5.0,376.0,0.84,2.0,402.76
