,target,spark.executor.cores,spark.executor.instances,spark.executor.memory
1,209.646,3.0,6.0,6.0
2,207.942,2.0,8.0,5.0
3,463.057,1.0,5.0,3.0
4,218.302,2.0,8.0,5.0
5,458.204,1.0,5.0,3.0
6,202.15,2.0,8.0,5.0
7,249.5,3.0,4.0,6.0
8,212.629,2.0,8.0,5.0
9,515.218,1.0,4.0,3.0
10,232.895,3.0,6.0,7.0
11,213.6132442426741,4.0,8.0,5.1416042789026335
12,305.2294015723163,1.0,8.0,6.62
13,221.71888412121217,3.071,8.0,3.576971535420248
14,224.1419909547953,2.9639,7.2829478659171825,5.046770047146767
15,312.07463674242393,1.1324899999999998,8.0,3.8190199999999996
16,213.74420575824192,2.780759,8.0,5.634244150628678
17,213.6132442426741,2.7026831000000002,8.0,4.752726268135781
18,226.35357875301088,2.0944772539515184,7.1922096799999995,5.6503836661468485
19,214.25983695389343,2.2250828450588953,8.0,5.389902803258001
20,229.33782723744307,2.1317132865580257,7.3456898407999995,4.66932524453919
21,217.75653732359308,2.3000373109974293,8.0,4.37237880782
22,214.25983695389343,1.5850726562809998,8.0,5.263950391571832
23,214.25983695389343,1.6265653906528998,7.5230078939432,5.191204878923747
24,214.25983695389343,2.33609114841239,7.65391652768246,5.199807663471762
25,214.25983695389343,1.6986982566868618,7.823075421638681,4.8455832923492625
