,target,spark.executor.cores,spark.scheduler.revive.interval
1,252.154,2.0,548.0
2,190.243,3.0,604.0
3,254.225,2.0,636.0
4,187.626,3.0,603.0
5,274.999,3.0,996.0
6,212.804,3.0,597.0
7,434.403,1.0,965.0
8,191.337,3.0,508.0
9,290.366,2.0,743.0
10,225.005,3.0,533.0
11,211.6,3.0,948.0
12,215.281,3.0,516.0
13,186.093,3.0,641.0
14,189.006,3.0,665.0
15,441.321,1.0,846.0
16,219.891,3.0,693.0
17,242.963,3.0,756.0
18,161.268,4.0,673.0
19,218.24,2.0,601.0
20,187.051,4.0,785.0
21,340.709,1.0,849.0
22,187.873,4.0,751.0
23,246.81917463030135,2.526535658831242,670.1166193644466
24,246.81917463030135,3.884582262779081,675.2945787922296
25,246.81917463030135,3.5752437604709533,643.8796036139146
26,246.81917463030135,3.8075082936814084,662.2090493385948
27,246.81917463030135,3.9645090097714304,787.8594321569536
28,246.81917463030135,3.7378966549677357,782.350133678678
29,246.81917463030135,3.984166896581612,672.2863876511312
30,246.81917463030135,3.9616404339858438,673.3468917957731
31,246.81917463030135,3.7563792323834795,711.3946856055054
32,246.81917463030135,3.5821141081168664,657.0406120138548
33,246.81917463030135,3.5878467586982614,678.277508978751
34,246.81917463030135,3.7373359037881664,641.8160693797313
35,246.81917463030135,3.710564540619057,694.6261503640419
36,246.81917463030135,3.970949519649011,663.5820100371756
37,246.81917463030135,3.7589312543349807,691.5923817876518
