,runtime,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
39,187.051,40,0,0,392,4,7,7,722,107,69,8,1828919040,0.51,1,683,0.74,1,1426482944,1417626624,61,0,785,0,25,3,163,4
40,160.02,40,0,0,410,4,7,7,776,124,75,9,1816379392,0.53,1,617,0.79,1,1416449280,1303367552,59,0,758,0,25,3,158,4
41,340.709,41,1,1,288,1,8,3,384,56,95,7,1141372000,0.59,1,699,0.54,1,1574884748,1617981390,59,0,849,0,47,1,242,1
42,185.006,53,0,1,471,3,7,6,527,108,80,6,1425586276,0.89,0,0,0.79,0,1241570684,1717482023,52,1,545,0,26,2,237,1
43,187.873,43,0,0,429,4,6,6,780,108,77,8,1895305984,0.54,1,633,0.78,1,1662835456,1421709440,54,1,751,0,27,3,186,3
44,182.159,39,0,0,432,4,6,6,784,100,87,8,1846427648,0.51,1,651,0.76,1,1547823616,1452673536,54,1,744,0,29,3,179,4
45,670.561,53.31937884,0.407692862,0.408721627,428.5731436,2.61681428,7.441458727,5.989917181,776.8217306,39.17993367,110.5901733,5.960609936,1820950994,0.581948713,0.317771678,790.1742286,0.64378785,0.178195136,1656231737,1205971684,28.47079051,0.742507504,595.6863888,0.8949256,47.34150835,3.024977379,251.3946669,1.390513689
46,278.309,50.37477046,0.140746993,0.060713541,369.1813921,3.644469299,6.989659466,5.8792578,837.3289271,123.2972282,95.19320533,7.916377428,1873874693,0.526541937,0.760688846,752.5430098,0.872800583,0.877848053,1216122640,1409153714,64.87841734,0.005224782,791.3844603,0.004179881,28.52914049,1.638922866,208.255292,3.019069315
47,186.017,45.72722309,0.115543176,0.035153645,352.7173771,3.164601782,7.67150086,6.025077238,703.6372841,115.7080228,105.8954884,7.222491481,1451966899,0.667494573,0.821524567,595.7527058,0.749275836,0.816030709,1175027044,1265700315,56.11034193,0.203337347,809.6748256,0.211685019,36.00192322,2.209073675,153.2361435,3.574686296
48,152.819,46.00982517,0.017326838,0.15966062,391.7552956,3.549556408,7.620730626,6.686533133,856.6208261,105.275937,105.3956138,7.457642751,1828897992,0.627940639,0.913730684,765.2842318,0.721810101,0.835268489,1273389579,1613545378,57.70408228,0.037417189,718.7383816,0.079991226,29.23972397,3.967479966,213.2431831,3.97996996
