,target,spark.executor.cores,spark.executor.instances,spark.executor.memoryOverhead,spark.scheduler.revive.interval
1,252.154,2.0,6.0,384.0,548.0
2,397.267,1.0,7.0,384.0,744.0
3,190.243,3.0,8.0,727.0,604.0
4,218.759,3.0,7.0,713.0,521.0
5,254.225,2.0,6.0,446.0,636.0
6,274.356,2.0,6.0,384.0,948.0
7,187.626,3.0,7.0,675.0,603.0
8,185.528,3.0,7.0,685.0,626.0
9,274.999,3.0,4.0,840.0,996.0
10,222.671,3.0,7.0,541.0,984.0
11,212.804,3.0,6.0,674.0,597.0
12,268.936,3.0,6.0,676.0,598.0
13,434.403,1.0,6.0,384.0,965.0
14,280.262,3.0,5.0,620.0,802.0
15,191.337,3.0,7.0,534.0,508.0
16,180.737,3.0,7.0,582.0,551.0
17,290.366,2.0,5.0,384.0,743.0
18,242.835,3.0,5.0,525.0,825.0
19,225.005,3.0,6.0,635.0,533.0
20,192.778,3.0,7.0,629.0,507.0
21,211.6,3.0,6.0,672.0,948.0
22,313.351,2.0,5.0,384.0,564.0
23,215.281,3.0,6.0,662.0,516.0
24,184.96,3.0,7.0,629.0,548.0
25,186.093,3.0,7.0,736.0,641.0
26,200.646,3.0,8.0,498.0,768.0
27,189.006,3.0,7.0,645.0,665.0
28,266.492,2.0,6.0,634.0,563.0
29,441.321,1.0,6.0,384.0,846.0
30,353.454,2.0,4.0,470.0,947.0
31,219.891,3.0,7.0,744.0,693.0
32,220.545,3.0,7.0,702.0,667.0
33,242.963,3.0,7.0,634.0,756.0
34,636.02,1.0,4.0,384.0,998.0
35,161.268,4.0,7.0,877.0,673.0
36,161.869,4.0,8.0,877.0,663.0
37,218.24,2.0,8.0,384.0,601.0
38,270.492,2.0,7.0,394.0,741.0
39,187.051,4.0,7.0,722.0,785.0
40,160.02,4.0,7.0,776.0,758.0
41,340.709,1.0,8.0,384.0,849.0
42,185.006,3.0,7.0,527.0,545.0
43,187.873,4.0,6.0,780.0,751.0
44,182.159,4.0,6.0,784.0,744.0
45,199.0531005859375,3.1550678968021004,5.379377191896295,873.5411785877229,670.5834274557014
46,199.0531005859375,3.3737801907975555,5.984670604365961,781.4446616960712,757.8797522345592
47,190.03836059570312,3.5326455453479184,5.659879574885956,775.3868748251907,753.3742835488416
48,176.27288818359375,3.58704855939975,7.9110262698305736,667.3842767046689,601.0672470057915
49,190.03866577148438,3.9207009356950513,7.7513286245038735,871.2292364385828,659.844215323634
50,190.03866577148438,4.0,8.0,875.0892324288169,679.0575682664469
51,190.03836059570312,3.834848345671366,6.155760689893465,773.6501766093795,764.7985645497993
52,190.03836059570312,3.7306494598088924,6.420629124333123,769.035097267671,759.394982485285
53,190.03836059570312,4.0,7.750926133,776.1620655214327,742.8211376630925
54,190.03866577148438,3.5092673806,6.3241664803,781.6594147508199,735.6422989126163
55,190.03866577148438,4.0,7.6082501677300005,790.6552147770788,737.8544982686853
56,190.03866577148438,3.623868467025499,7.282236833928839,793.147459869674,747.0857167169183
57,190.03866577148438,4.0,6.5073173641387,800.3286592293222,740.5568674582807
58,190.03866577148438,3.8783709164929454,7.232258851102817,803.2646452969553,749.4721072282297
59,190.03866577148438,3.710227295570494,7.399072935047653,810.3954588733444,742.5505496917177
