,target,spark.executor.cores,spark.executor.instances
1,209.646,3.0,6.0
2,300.603,1.0,8.0
3,210.803,2.0,8.0
4,207.942,2.0,8.0
5,220.532,2.0,8.0
6,216.546,2.0,8.0
7,463.057,1.0,5.0
8,261.291,3.0,4.0
9,217.651,2.0,8.0
10,218.302,2.0,8.0
11,211.907,2.0,8.0
12,215.583,2.0,8.0
13,458.204,1.0,5.0
14,355.582,1.0,7.0
15,238.41,2.0,7.0
16,202.15,2.0,8.0
17,213.448,2.0,8.0
18,218.702,2.0,8.0
19,249.5,3.0,4.0
20,210.039,3.0,6.0
21,382.999,1.0,6.0
22,212.629,2.0,8.0
23,216.353,2.0,8.0
24,214.035,2.0,8.0
25,515.218,1.0,4.0
26,299.594,2.0,5.0
27,332.861,2.0,4.0
28,232.895,3.0,6.0
29,224.474,3.0,6.0
30,211.437,3.0,6.0
31,255.69758160909018,3.2259686708678634,7.8500280917710885
