,target,spark.executor.instances,spark.executor.memory
1,209.646,6.0,6.0
2,300.603,8.0,3.0
3,210.803,8.0,4.0
4,207.942,8.0,5.0
5,220.532,8.0,5.0
6,216.546,8.0,5.0
7,463.057,5.0,3.0
8,261.291,4.0,6.0
9,217.651,8.0,4.0
10,218.302,8.0,5.0
11,211.907,8.0,5.0
12,215.583,8.0,5.0
13,458.204,5.0,3.0
14,355.582,7.0,3.0
15,238.41,7.0,5.0
16,202.15,8.0,5.0
17,213.448,8.0,5.0
18,218.702,8.0,5.0
19,249.5,4.0,6.0
20,210.039,6.0,7.0
21,382.999,6.0,3.0
22,212.629,8.0,5.0
23,216.353,8.0,5.0
24,214.035,8.0,5.0
25,515.218,4.0,3.0
26,299.594,5.0,4.0
27,332.861,4.0,5.0
28,232.895,6.0,7.0
29,224.474,6.0,7.0
30,211.437,6.0,7.0
31,214.00880432128906,7.99365423436363,4.55844806351722
32,214.00880432128906,7.996147949236168,4.563213733237666
33,214.00880432128906,7.999450226384681,4.672946765892437
34,214.00880432128906,7.999362922275404,4.644880553073168
35,214.00880432128906,7.9978083022555655,4.7159293159127404
36,214.00880432128906,7.996682458860623,4.708885078529699
37,214.00880432128906,7.998551153167481,4.705360834152532
38,214.00880432128906,7.999690302064731,4.757865962966174
39,214.00880432128906,7.998165764830512,5.7381936467430545
40,214.00880432128906,7.999923954432727,4.73901344011589
41,214.00880432128906,7.9979697223770145,4.736975554719929
42,214.00880432128906,7.998034461090807,4.7656331141395345
43,214.00880432128906,7.9999066849622675,4.797692597986841
44,214.00880432128906,7.999915607061141,4.82009192275657
45,214.00880432128906,7.99839902172108,4.822039718056487
46,214.00880432128906,7.652272754684593,4.629395962229632
47,214.00880432128906,7.999581326323131,5.31060232955046
48,214.00880432128906,7.71834093129452,4.699810729406002
49,214.00880432128906,7.746506838165068,4.729829656465402
50,214.00880432128906,7.771856154348561,4.756846690818861
