,target,spark.broadcast.compress,spark.default.parallelism,spark.executor.instances,spark.executor.memory,spark.kryoserializer.buffer
1,209.646,1.0,308.0,6.0,6.0,95.0
2,300.603,1.0,358.0,8.0,3.0,80.0
3,210.803,0.0,360.0,8.0,4.0,93.0
4,207.942,0.0,342.0,8.0,5.0,75.0
5,220.532,0.0,346.0,8.0,5.0,74.0
6,216.546,0.0,339.0,8.0,5.0,74.0
7,463.057,1.0,281.0,5.0,3.0,75.0
8,261.291,0.0,378.0,4.0,6.0,86.0
9,217.651,0.0,415.0,8.0,4.0,120.0
10,218.302,0.0,340.0,8.0,5.0,76.0
11,211.907,0.0,344.0,8.0,5.0,74.0
12,215.583,0.0,341.0,8.0,5.0,76.0
13,458.204,1.0,441.0,5.0,3.0,32.0
14,355.582,0.0,431.0,7.0,3.0,59.0
15,238.41,0.0,267.0,7.0,5.0,95.0
16,202.15,0.0,335.0,8.0,5.0,74.0
17,213.448,0.0,348.0,8.0,5.0,75.0
18,218.702,0.0,333.0,8.0,5.0,74.0
19,249.5,0.0,437.0,4.0,6.0,71.0
20,210.039,0.0,425.0,6.0,7.0,74.0
21,382.999,0.0,444.0,6.0,3.0,84.0
22,212.629,0.0,330.0,8.0,5.0,74.0
23,216.353,0.0,333.0,8.0,5.0,73.0
24,214.035,0.0,336.0,8.0,5.0,74.0
25,515.218,0.0,357.0,4.0,3.0,122.0
26,299.594,1.0,355.0,5.0,4.0,109.0
27,332.861,1.0,494.0,4.0,5.0,106.0
28,232.895,0.0,422.0,6.0,7.0,73.0
29,224.474,0.0,423.0,6.0,7.0,73.0
30,211.437,0.0,423.0,6.0,7.0,74.0
31,256.8077697753906,0.3356086363070604,280.87286268445735,7.224949816503882,4.945513487002989,72.07290320573796
32,256.8077697753906,0.0,214.25,6.48,3.38,35.419999999999995
33,256.8077697753906,0.11701006132195688,291.8006661703921,7.562655546564245,5.337396559898017,68.8731244510157
34,256.8077697753906,0.0,237.1925,6.7688,3.6877999999999997,42.75019999999999
35,256.8077697753906,0.09037754828523192,392.62726838676406,7.286868848088682,6.119875739537911,73.36450450547507
36,256.8077697753906,0.0,255.77592499999997,7.002727999999999,3.937118,48.68766199999999
37,256.8077697753906,0.08927213206763952,325.298324957934,7.733021641019457,5.067632134027175,68.88620794545307
38,256.8077697753906,0.08036824056875977,325.18296079024975,7.843337478696937,5.0949119813122685,71.04506003997375
39,256.8077697753906,0.0,277.245649325,7.272988712,4.225159022,55.547305597999994
40,256.8077697753906,0.0,283.0210843925,7.3456898407999995,4.3026431198,57.39257503819999
41,256.8077697753906,0.0,288.21897595325,7.41112085672,4.37237880782,59.05331753437999
42,256.8077697753906,0.0,292.897078357925,7.470008771048,4.435140927038,60.54798578094199
43,256.8077697753906,0.039909998763722476,334.48247734569145,7.929912023025818,5.065261746614076,73.38487305387133
44,256.8077697753906,0.10732322386278004,300.89663346991927,7.57070710454888,4.54246415090078,63.103868482563016
45,256.8077697753906,0.09659090147650204,304.30697012292734,7.613636394093992,4.5882177358107015,64.19348163430672
46,256.8077697753906,0.02739654919109793,334.76351322727197,7.922411213827067,5.090776472078516,74.46551213657962
47,256.8077697753906,0.07823863019596665,310.1386457995711,7.687045479216134,4.666456366006669,66.05672012378844
48,256.8077697753906,0.0,312.624781219614,7.71834093129452,4.699810729406002,66.8510481114096
49,256.8077697753906,0.022108578669062455,334.76700179390946,7.938253212384684,5.037137012350542,75.06922432827798
50,256.8077697753906,0.020837555132772485,333.2582157114769,7.928627490691755,5.038907767415011,74.18080525433517
