,target,spark.memory.offHeap.size,spark.shuffle.io.numConnectionsPerPeer
1,209.646,934.0,4.0
2,300.603,1008.0,5.0
3,210.803,535.0,4.0
4,207.942,0.0,4.0
5,220.532,0.0,4.0
6,216.546,0.0,4.0
7,463.057,777.0,2.0
8,261.291,780.0,2.0
9,217.651,858.0,1.0
10,218.302,0.0,4.0
11,211.907,0.0,4.0
12,215.583,0.0,4.0
13,458.204,0.0,1.0
14,355.582,0.0,5.0
15,238.41,0.0,1.0
16,202.15,0.0,4.0
17,213.448,0.0,4.0
18,218.702,0.0,4.0
19,249.5,0.0,1.0
20,210.039,0.0,5.0
21,382.999,642.0,5.0
22,212.629,0.0,4.0
23,216.353,0.0,4.0
24,214.035,0.0,4.0
25,515.218,616.0,1.0
26,299.594,0.0,2.0
27,332.861,689.0,1.0
28,232.895,0.0,5.0
29,224.474,0.0,5.0
30,211.437,0.0,5.0
31,268.5371209716797,94.55472104324895,1.7450408455106836
32,268.5371209716797,348.9102958534041,4.812979661926344
33,268.5371209716797,290.1659550666073,3.0943696536119614
34,268.5371209716797,67.01805034017511,2.990682555508543
35,268.5371209716797,272.23141964093713,4.437642992078538
36,268.5371209716797,186.19630479604749,4.304957165747074
37,268.5371209716797,118.14750297680847,3.4141690916623064
38,268.5371209716797,114.42160139894769,4.291555731024186
39,268.5371209716797,122.63835881544139,4.165495247145318
40,268.5371209716797,10.280517626690779,4.641276116730583
41,268.5371209716797,56.893885676588006,4.153515973282264
42,268.5371209716797,75.04424507369677,3.677756826826939
43,268.5371209716797,53.622629433414815,4.027417860472216
44,268.5371209716797,13.351145939577572,4.0906623783669644
45,268.5371209716797,73.08389090319596,3.880217671089353
46,268.5371209716797,53.09960316691103,3.827843947203725
47,268.5371209716797,57.087639933259666,3.894270208815715
48,268.5371209716797,64.53716409671559,3.788864236390945
49,268.5371209716797,64.46538677311541,4.006549326658127
50,268.5371209716797,37.21372935115533,3.921923952300847
