spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime,interations
48.21238161,0.690548405,0.817448085,412.186516,6.516609972,9.955837812,13.52849213,1651.668897,127.0694379,72.68151038,5.914646615,1130996543,0.574658459,0.290147758,978.9628863,0.551398708,0.3574459,1189193738,2139801165,31.52407974,0.28739368,619.3788847,0.250559305,33.61572297,4.134326898,380.9047662,0.780238796,7.851683158,308.044,1
44.4896578,0.892937999,0.070164518,473.8418508,4.465119126,8.969570374,8.782833197,1267.45054,105.8622063,100.4653681,3.419833628,1300489819,0.52696031,0.650738713,637.6332632,0.794185344,0.631530059,1451525444,1443999608,43.62533964,0.807093541,857.0565086,0.62008262,20.83779418,1.990034297,263.0379036,0.616595664,8.346420097,302.132,2
9.847705257,0.024574403,0.361157919,381.7004278,4.99259786,12.63815643,10.19145779,1424.271587,88.29746267,116.482434,5.587303072,2118164722,0.799813623,0.188358948,545.2222159,0.650155841,0.876957774,1960256391,1235360871,48.94317192,0.447214178,821.6785812,0.320815405,43.53204183,2.214484273,424.6252512,0.671777455,4.694354092,684,3
17.42244259,0.334198408,0.056892988,289.6039044,5.189251857,11.46147365,12.73194801,617.6247271,110.413506,79.89264035,4.901516984,1410163956,0.5105401,0.733139408,840.0999592,0.894072515,0.14287514,1682182187,1649528188,39.42676236,0.744135161,563.0652848,0.466729625,27.2677338,4.588728013,499.784719,0.575011978,2.05861421,404.586,4
33.45512718,0.546273759,0.54293415,310.5797678,4.203072587,8.090019396,9.928276435,1746.030134,38.22327688,62.21633339,3.207570109,1265936600,0.889694544,0.113219718,920.3194378,0.697798718,0.270635481,2056780439,1124568829,35.085047,0.91305082,928.9748067,0.165486309,24.10372587,3.924603928,131.5489505,0.50396736,2.889247149,1417.616,5
62.68267938,0.785770261,0.676901154,356.2636425,5.588335132,10.54165504,9.589511657,503.9352714,49.05112037,123.8941178,4.080437769,1443638777,0.70005237,0.560432874,663.7822308,0.663038218,0.982014488,2108900030,1549813472,52.42169229,0.564080671,934.6287156,0.795786735,31.05688038,4.879198711,410.9480258,0.700606116,7.37912991,628.183,6
35.15911235,0.287092397,0.94382405,493.2500143,4.028904244,10.82068412,8.206578622,792.4741025,69.84502711,65.45454468,1.31575016,2035164815,0.784186813,0.789305573,858.4002143,0.57169687,0.075848141,1505149237,1918740618,67.83283915,0.220938951,767.7781032,0.942559089,17.00871638,1.765857867,246.2986583,0.882738485,4.009091483,880.379,7
56.86370584,0.846579285,0.262656255,230.8600151,5.820216342,12.08283155,13.8628772,710.2425864,76.02465874,107.3709299,7.954621046,1675689130,0.666495992,0.225690301,750.1056231,0.591676772,0.448066897,1416746697,1847191405,40.27491125,0.520489568,643.6469484,0.567236461,44.09631004,3.605904896,362.7222226,0.734580932,6.198808611,282.449,8
25.03453803,0.086814451,0.435087885,244.1170653,4.638228592,12.9595095,8.942651658,1034.467442,82.69081748,93.07570672,7.29497195,1625033820,0.635347837,0.843106317,710.8362475,0.747254108,0.584891164,1600273621,1173355035,54.67592622,0.702556383,985.0692646,0.431492223,46.09409633,4.410067217,461.2335102,0.837566668,1.39752256,1496.912,9
53.66787062,0.163033035,0.180233285,432.3078728,6.624463153,10.10057297,10.91303034,918.2513692,54.483853,46.0324493,9.626322534,1970712169,0.618083846,0.474325801,945.1207294,0.513517434,0.260674805,1278877304,1424931415,63.95648971,0.093108884,597.083649,0.81507223,18.36124535,3.001731537,172.8473955,0.545639414,5.287498371,282.179,10
4.510804848,0.483401227,0.877873278,369.7440542,6.875261099,9.488117655,10.44398444,1537.374664,92.21275979,37.97885635,6.999393753,1762189636,0.72635291,0.948276425,547.447454,0.866191973,0.746210944,1853953045,1763645653,24.53275612,0.195794663,515.3078849,0.08446512,35.44736797,2.51323889,318.5124134,0.645433655,6.911571111,1180.82,11
27.42433988,0.988766292,0.637870567,448.4017983,5.326715497,8.548369006,11.86026182,1154.016653,38.73814244,85.50428775,2.317946917,1811098045,0.85212245,0.010767225,996.8814825,0.834306863,0.723194737,1117987758,2000320564,69.04734815,0.050567897,720.402572,0.046371893,38.33350233,3.259024176,114.1465831,0.855096546,9.411884428,280.2,12
40.93698311,0.633616144,0.739266961,276.8590641,6.284544222,13.54224957,11.27246109,433.316213,62.54395058,113.9869736,9.164245698,1148783035,0.597655696,0.465607688,753.9388428,0.783851322,0.020158607,1343240825,1294794947,28.4796641,0.98176377,871.1740133,0.688184292,39.6311298,1.139520117,224.4999698,0.757967407,3.689562742,277.478,13
11.00681145,0.43299838,0.529430607,338.7103707,5.777354061,11.71371387,12.97099862,1361.05018,115.4253798,42.24832184,8.754628164,1560441637,0.752169208,0.903319557,810.6792388,0.628692147,0.856200875,1881720176,2046069816,56.49357413,0.636303792,674.3766926,0.396286344,29.14744765,2.717406955,287.4245065,0.586009814,9.291721181,292.89,14
22.3516051,0.237956315,0.332582822,215.5517597,6.128136139,13.94754225,12.00383284,947.7113855,97.39255871,52.30833934,1.96315163,1892766117,0.83607294,0.351013471,583.4673482,0.737610403,0.488881346,1756296814,1614530964,62.38014659,0.362326441,757.5710233,0.878144088,26.23783635,1.523786367,184.081096,0.795990214,2.435810089,276.107,15
40.9407243,0.285576282,0.586833341,425.0065291,6.574941509,12.53049313,12.18834349,1569.201299,62.9773757,96.39572392,5.057865428,1484021175,0.66432454,0.401479583,674.5005803,0.748767747,0.430247271,2119353842,1801524988,33.53135464,0.426701009,671.6731199,0.797638804,44.15994523,4.615367823,365.087925,0.608083305,3.271300314,290.135,16
