spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
18.17886492,0.309492674,0.928087255,265.1525572,6.883018051,8.423524179,13.59687991,510.8714091,54.86858594,60.25213595,2.693502643,1647193008,0.815660876,0.613564563,582.7687378,0.732816534,0.89314369,1802683033,1779725441,24.19612827,0.062069756,869.0673751,0.486410342,45.66439702,2.224750116,414.9872446,0.634811972,1.066580496,305.949
48.10861016,0.659318553,0.604140234,352.5648746,6.611530534,13.71957533,12.66190767,444.3818611,44.69104852,55.12991019,6.960928187,1826987724,0.606030697,0.579656558,690.7891374,0.558634998,0.449735626,1472336326,1176828542,55.48620507,0.469127952,769.6579313,0.196182113,29.14306511,3.161555124,464.1087386,0.686651744,7.300333096,342.989
45.31855022,0.715183725,0.479153815,397.1880912,5.605719784,8.937985567,11.85576328,1520.423402,74.88181959,108.9130716,7.227557395,1477133903,0.611123327,0.417179753,995.392354,0.784779866,0.171235787,1223324648,1949811178,64.92156624,0.246611672,663.0805415,0.366177012,25.4493502,1.229392729,206.6140991,0.587395125,2.807439266,286.822
61.72330499,0.991999231,0.386809035,416.8623797,4.527567575,11.44953656,8.529630731,699.6494514,91.29651526,104.330756,6.278382028,1955597183,0.772003244,0.992273288,545.1270685,0.626573293,0.977963807,1770745954,1131514890,62.25554001,0.116880656,688.2051479,0.318304167,19.58205673,4.68571702,103.4703504,0.895706386,2.585036329,1275.009
41.78896552,0.497557448,0.189947557,337.0154946,4.046744694,12.39029561,12.98230965,815.0670314,62.33417606,122.1258923,8.472682699,1725625000,0.851550671,0.17038674,804.7320914,0.826686879,0.506415101,1644389129,1871371646,71.42597072,0.62457487,613.6052644,0.422308479,20.3069905,4.282451667,270.2322643,0.784131175,5.348554037,291.806
35.18117229,0.198873226,0.738563286,319.5738802,5.232838537,11.87739378,9.02405921,908.99052,36.05102739,87.41776796,1.430994211,2122340832,0.695255386,0.266773999,887.5830919,0.537897245,0.29542832,1696615500,1567363472,43.51908419,0.387277173,823.7345806,0.714515627,38.93172382,1.761140029,235.2544002,0.807633519,2.146155745,616.534
20.61425419,0.830772303,0.240208819,456.5135056,5.505694994,10.15641368,13.90407878,609.461294,50.43576117,73.0241803,1.999481191,1399329165,0.521361618,0.258051507,851.640388,0.591528887,0.753348464,1863645369,1844858134,38.23445641,0.267511256,906.5289923,0.629915328,28.62069577,2.46315652,424.3028362,0.862090752,8.942583407,271.163
6.30959125,0.222536586,0.011728416,488.0971315,5.868931838,12.43393253,9.718494009,1120.807015,80.4517924,43.28146913,5.179490927,1101495883,0.536768172,0.902453337,547.0072285,0.646705358,0.672004671,1531049722,1702971721,29.27202817,0.164775625,524.9065684,0.905351484,40.35483849,1.334432985,177.158683,0.55073902,4.226057827,374.197
54.35264671,0.457226414,0.699443216,469.8913194,4.336615632,13.07039767,10.32897414,1079.098288,65.44770943,70.07996931,5.505519225,1295432764,0.655033305,0.354345623,647.244377,0.698198529,0.079117187,1423980996,2117612681,34.34628183,0.742770033,725.1381932,0.123213412,31.57465164,4.862162758,289.1347962,0.831463407,7.640603017,623.122
24.12757647,0.556039668,0.289186538,422.2546681,6.358842514,13.33463221,11.4684935,1356.027706,113.7553934,100.6724247,3.036324834,1910754036,0.765381383,0.073921467,881.3691882,0.894215543,0.054004884,1165663005,1632412619,48.8308883,0.883022205,762.2672982,0.04633051,47.46182675,2.610908649,226.5083567,0.688514345,4.637727802,831.371
