,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,209.646,39.0,1.0,1.0,308.0,3.0,6.0,6.0,497.0,95.0,126.0,4.0,1334243554.0,0.79,1.0,934.0,0.61,0.0,1085153271.0,1768916002.0,53.0,0.0,744.0,0.0,46.0,4.0,244.0,4.0
2,300.603,58.0,1.0,1.0,358.0,1.0,8.0,3.0,384.0,80.0,84.0,6.0,1660511439.0,0.54,1.0,1008.0,0.6,0.0,1269014963.0,1902051975.0,46.0,0.0,512.0,0.0,33.0,5.0,220.0,2.0
3,210.803,48.0,0.0,0.0,360.0,2.0,8.0,4.0,445.0,93.0,118.0,5.0,1439489439.0,0.71,1.0,535.0,0.87,1.0,1364761151.0,1141528201.0,69.0,0.0,594.0,0.0,27.0,4.0,161.0,3.0
4,207.942,57.0,1.0,0.0,342.0,2.0,8.0,5.0,396.0,75.0,64.0,5.0,1620198784.0,0.63,0.0,0.0,0.6,0.0,1827248640.0,1675501952.0,54.0,1.0,767.0,0.0,20.0,4.0,212.0,2.0
5,220.532,58.0,1.0,0.0,346.0,2.0,8.0,5.0,384.0,74.0,61.0,5.0,1638957056.0,0.63,0.0,0.0,0.62,0.0,1814493696.0,1691712000.0,56.0,1.0,751.0,0.0,21.0,4.0,214.0,2.0
6,216.546,56.0,1.0,0.0,339.0,2.0,8.0,5.0,431.0,74.0,67.0,6.0,1611314176.0,0.64,0.0,0.0,0.63,0.0,1739004160.0,1668868992.0,54.0,1.0,759.0,0.0,21.0,4.0,219.0,2.0
7,463.057,41.0,1.0,1.0,281.0,1.0,5.0,3.0,384.0,75.0,32.0,10.0,1559216093.0,0.71,1.0,777.0,0.52,0.0,1625752830.0,1917350354.0,62.0,1.0,510.0,0.0,38.0,2.0,189.0,4.0
8,261.291,37.0,0.0,0.0,378.0,3.0,4.0,6.0,384.0,86.0,69.0,10.0,1936115172.0,0.73,1.0,780.0,0.68,1.0,1549516506.0,1226244979.0,52.0,0.0,953.0,1.0,19.0,2.0,205.0,4.0
9,217.651,44.0,0.0,0.0,415.0,2.0,8.0,4.0,384.0,120.0,107.0,10.0,2100041470.0,0.66,1.0,858.0,0.89,1.0,1363244891.0,1628542065.0,64.0,1.0,814.0,1.0,34.0,1.0,267.0,3.0
10,218.302,56.0,1.0,0.0,340.0,2.0,8.0,5.0,392.0,76.0,63.0,5.0,1582273152.0,0.64,0.0,0.0,0.6,0.0,1775949568.0,1646034688.0,54.0,0.0,765.0,0.0,21.0,4.0,221.0,2.0
