,target,spark.executor.cores,spark.executor.instances
1,209.646,3.0,6.0
2,210.803,2.0,8.0
3,220.532,2.0,8.0
4,463.057,1.0,5.0
5,217.651,2.0,8.0
6,211.907,2.0,8.0
7,458.204,1.0,5.0
8,238.41,2.0,7.0
9,213.448,2.0,8.0
10,249.5,3.0,4.0
11,382.999,1.0,6.0
12,216.353,2.0,8.0
13,515.218,1.0,4.0
14,332.861,2.0,4.0
15,224.474,3.0,6.0
16,255.69758160909018,3.561747392319773,7.609385658332781
17,255.69758160909018,4.0,5.384256281594357
18,255.69758160909018,2.9025390363524974,6.807352594114686
19,255.69758160909018,2.959035619370838,5.252493905995976
20,255.69758160909018,3.8675100000000002,6.3516636997623594
21,255.69758160909018,2.521370946864312,6.072341825580552
22,255.69758160909018,3.33664704746977,5.870836552489885
23,255.69758160909018,3.0164655113752676,6.263036616861693
24,255.69758160909018,2.8727690768896923,5.784676555235564
25,255.69758160909018,2.639827538951002,5.869850447835111
26,255.69758160909018,2.6005701062098794,6.043038331465274
27,255.69758160909018,3.4149273437190004,6.564859072962
28,255.69758160909018,3.0043047806116423,6.011812900350059
29,255.69758160909018,2.9996534386339753,6.001319334821144
30,255.69758160909018,2.799198161042426,6.151621739219713
31,255.69758160909018,3.001455285654694,5.994405312697183
32,255.69758160909018,3.0024085462157224,5.999554726529498
33,255.69758160909018,2.994442302650217,5.990779611970368
34,255.69758160909018,2.8886582969533547,6.179839559036723
35,255.69758160909018,2.992626598854912,5.99783692529028
