,target,spark.memory.offHeap.size,spark.shuffle.io.numConnectionsPerPeer
1,397.267,0.0,4.0
2,218.759,819.0,4.0
3,274.356,939.0,4.0
4,185.528,787.0,4.0
5,222.671,0.0,3.0
6,268.936,758.0,4.0
7,280.262,0.0,5.0
8,180.737,767.0,3.0
9,242.835,526.0,2.0
10,192.778,770.0,3.0
11,313.351,762.0,2.0
12,184.96,772.0,3.0
13,200.646,0.0,5.0
14,266.492,794.0,3.0
15,353.454,0.0,2.0
16,220.545,680.0,3.0
17,636.02,0.0,4.0
18,161.869,806.0,3.0
19,270.492,0.0,3.0
20,160.02,617.0,3.0
21,185.006,0.0,2.0
22,182.159,651.0,3.0
23,268.5371209716797,111.3869463170654,2.4755166798937402
24,268.5371209716797,617.1885050295293,3.0900699214039546
25,268.5371209716797,358.5229157178447,3.3756151038320557
26,268.5371209716797,342.4244860088893,3.678909546299196
27,268.5371209716797,554.6888073143898,2.200377743593739
28,268.5371209716797,825.3121479990631,2.887760191418267
29,268.5371209716797,584.2590931480212,2.716885773827757
30,268.5371209716797,664.8302778140464,2.8155459997482835
31,268.5371209716797,637.8387654746901,3.313110448934905
32,268.5371209716797,493.06738014644276,2.869850447835111
33,268.5371209716797,479.5591944451758,3.043038331465274
34,268.5371209716797,571.0837688048355,2.7456935937335243
35,268.5371209716797,537.5747308288412,3.1763622632255117
36,268.5371209716797,711.7774746023147,2.923195853310971
37,268.5371209716797,547.905605884069,3.151621739219712
