,target,spark.executor.cores,spark.executor.instances,spark.executor.memory
1,252.154,2.0,6.0,4.0
2,397.267,1.0,7.0,3.0
3,190.243,3.0,8.0,6.0
4,218.759,3.0,7.0,7.0
5,254.225,2.0,6.0,4.0
6,274.356,2.0,6.0,4.0
7,187.626,3.0,7.0,6.0
8,185.528,3.0,7.0,5.0
9,274.999,3.0,4.0,7.0
10,222.671,3.0,7.0,6.0
11,212.804,3.0,6.0,5.0
12,268.936,3.0,6.0,5.0
13,434.403,1.0,6.0,3.0
14,280.262,3.0,5.0,7.0
15,191.337,3.0,7.0,5.0
16,180.737,3.0,7.0,5.0
17,290.366,2.0,5.0,4.0
18,242.835,3.0,5.0,6.0
19,225.005,3.0,6.0,5.0
20,192.778,3.0,7.0,5.0
21,211.6,3.0,6.0,6.0
22,313.351,2.0,5.0,4.0
23,215.281,3.0,6.0,5.0
24,184.96,3.0,7.0,5.0
25,186.093,3.0,7.0,6.0
26,200.646,3.0,8.0,7.0
27,189.006,3.0,7.0,5.0
28,266.492,2.0,6.0,5.0
29,441.321,1.0,6.0,3.0
30,353.454,2.0,4.0,4.0
31,219.891,3.0,7.0,6.0
32,220.545,3.0,7.0,6.0
33,242.963,3.0,7.0,6.0
34,636.02,1.0,4.0,3.0
35,161.268,4.0,7.0,7.0
36,161.869,4.0,8.0,7.0
37,218.24,2.0,8.0,4.0
38,270.492,2.0,7.0,5.0
39,187.051,4.0,7.0,7.0
40,160.02,4.0,7.0,7.0
41,340.709,1.0,8.0,3.0
42,185.006,3.0,7.0,6.0
43,187.873,4.0,6.0,6.0
44,182.159,4.0,6.0,6.0
45,241.35890909090912,3.9999999957871504,8.0,4.535657073603731
46,241.35890909090912,4.0,7.5304048070738165,6.290585470213262
47,251.62976923076923,4.0,6.178155199386773,7.0
48,241.35890909090912,4.0,7.509899798577858,7.0
49,255.46800000000007,3.846578625569941,6.579976886904149,5.89192
50,241.35890909090912,3.5766144712094285,7.995167999058637,6.6456704330415075
51,255.46800000000007,3.741628633114018,6.80076918145577,7.0
52,241.35890909090912,3.6902524319541614,7.569333293617434,6.983091687128422
53,255.46800000000007,3.9987942191662924,6.896951502062045,6.686507588857849
54,251.62976923076923,3.5092673806,6.3241664803,6.3456898407999995
55,255.46800000000007,3.8573932841601337,7.058283799521337,6.636784742761683
56,255.46800000000007,3.6584562025008376,6.6051745989937185,6.637927117377728
57,255.46800000000007,3.7402779655633034,7.26047973676515,6.554904616350881
58,255.46800000000007,3.9998697257019886,7.040188393659624,6.9999913013818045
59,255.46800000000007,3.883569912235932,6.6908797465451695,6.658754973824391
